"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"144d8fde-a175-3e4b-9c7c-327e99fd956d","Offside",2006,"https://www.rottentomatoes.com/m/offside",1,"94%","74%"
"91217a2b-9d80-3451-948e-f47d9334ca16","The Damned United",2009,"https://www.rottentomatoes.com/m/damned_united",2,"92%","85%"
"cfd33721-a653-43f7-b6e2-9321119e7948","Diego Maradona",2019,"https://www.rottentomatoes.com/m/diego_maradona",3,"90%",""
"3da46dee-cea6-3eb6-923c-509b93e845fa","Shaolin Soccer",2001,"https://www.rottentomatoes.com/m/shaolin_soccer",4,"89%","84%"
"55f6efc8-0f2f-3cad-909f-13a40923f610","Bend It Like Beckham",2002,"https://www.rottentomatoes.com/m/bend_it_like_beckham",5,"85%","73%"
"52ef3430-ee4a-3213-a8f6-35b3aaa4aeba","Looking for Eric",2009,"https://www.rottentomatoes.com/m/looking_for_eric",6,"84%","78%"
"2c229f81-96a6-3243-86d9-d9afc626989a","Once in a Lifetime: The Extraordinary Story of the New York Cosmos",2006,"https://www.rottentomatoes.com/m/10006849-once_in_a_lifetime",7,"81%","80%"
"18c5a6d2-cdfe-3c3e-b8a9-9d934a4a4077","Early Man",2018,"https://www.rottentomatoes.com/m/early_man",8,"81%","49%"
"4966301c-ec9e-3638-9b68-814177bd9891","Next Goal Wins",2014,"https://www.rottentomatoes.com/m/next_goal_wins",9,"100%","89%"
"385149c7-d935-4adc-8e66-416d0756ebe6","Sir Alex Ferguson: Never Give In",2021,"https://www.rottentomatoes.com/m/sir_alex_ferguson_never_give_in",10,"100%","96%"
"9ae2a295-1697-344e-853a-1b0122aec0af","Mario",2018,"https://www.rottentomatoes.com/m/mario",11,"100%","69%"
"58dd168c-4047-38ef-b261-07dab1f3161c","The Class of '92",2013,"https://www.rottentomatoes.com/m/the_class_of_92",12,"100%","85%"
"512320db-58ea-4e8e-96e1-52e73d4f1bca","LFG",2021,"https://www.rottentomatoes.com/m/lfg",13,"94%","52%"
"8ceb83ac-29a1-3688-9346-2760f618f934","The Beautiful Game",2024,"https://www.rottentomatoes.com/m/the_beautiful_game",14,"85%","67%"
"02dce5c9-b929-3bf9-800d-907e9a7120ec","The Keeper",2018,"https://www.rottentomatoes.com/m/the_keeper_2020",15,"87%","88%"
"1b7b7ed1-b91c-3928-bc89-3a1cf554cab7","The Cup",1999,"https://www.rottentomatoes.com/m/the_cup_1999",16,"85%","86%"
"cd67f1cf-7079-3581-9d0a-046f53e29783","The Two Escobars",2010,"https://www.rottentomatoes.com/m/two_escobars",17,"85%","97%"
"d5697027-0295-43b5-9df0-1e98c77af52e","Pelé",2021,"https://www.rottentomatoes.com/m/pele_2021",18,"84%","75%"
"b5e3dd65-9e45-3e3b-819d-f9d566e71dc0","The Workers Cup",2017,"https://www.rottentomatoes.com/m/the_workers_cup",19,"82%","67%"
"bbdd7f29-3f7b-3b5a-94cf-a7849084b237","Linha de Passe",2008,"https://www.rottentomatoes.com/m/linha_de_passe",20,"77%","72%"
"014b55b2-8ef0-3bcf-a7fc-e8d1c02c695b","Rudo y Cursi",2008,"https://www.rottentomatoes.com/m/rudo_y_cursi",21,"73%","66%"
"4e7ab563-7cf8-3f95-ad78-5668bf38710a","There's Only One Jimmy Grimble",2000,"https://www.rottentomatoes.com/m/theres-only-one-jimmy-grimble",22,"71%","75%"
"c2f5b5b3-8222-3af0-8877-4a6c0f42797c","Victory",1981,"https://www.rottentomatoes.com/m/1022576-victory",23,"70%","71%"
